method,simnum,listnum,hit,miss,fa,cr,cost
rw,0,1,60,333,40,12287,373.0
goni,0,1,4,389,2,12325,391.0
chan,0,1,48,345,35,12292,380.0
kenett,0,1,12,381,201,12126,582.0
fe,0,1,3,390,0,12327,390.0
rw,0,2,114,279,71,12256,350.0
goni,0,2,25,368,6,12321,374.0
chan,0,2,77,316,54,12273,370.0
kenett,0,2,18,375,291,12036,666.0
fe,0,2,6,387,0,12327,387.0
rw,0,3,157,236,105,12222,341.0
goni,0,3,38,355,14,12313,369.0
chan,0,3,94,299,66,12261,365.0
kenett,0,3,20,373,352,11975,725.0
fe,0,3,9,384,0,12327,384.0
rw,0,4,200,193,140,12187,333.0
goni,0,4,62,331,25,12302,356.0
chan,0,4,100,293,77,12250,370.0
kenett,0,4,16,377,383,11944,760.0
fe,0,4,12,381,0,12327,381.0
rw,0,5,226,167,166,12161,333.0
goni,0,5,99,294,27,12300,321.0
chan,0,5,107,286,84,12243,370.0
kenett,0,5,17,376,400,11927,776.0
fe,0,5,14,379,1,12326,380.0
rw,0,6,253,140,193,12134,333.0
goni,0,6,121,272,36,12291,308.0
chan,0,6,119,274,87,12240,361.0
kenett,0,6,19,374,419,11908,793.0
fe,0,6,17,376,1,12326,377.0
rw,0,7,279,114,221,12106,335.0
goni,0,7,156,237,49,12278,286.0
chan,0,7,126,267,82,12245,349.0
kenett,0,7,19,374,443,11884,817.0
fe,0,7,20,373,1,12326,374.0
rw,0,8,293,100,255,12072,355.0
goni,0,8,177,216,57,12270,273.0
chan,0,8,128,265,76,12251,341.0
kenett,0,8,28,365,443,11884,808.0
fe,0,8,23,370,1,12326,371.0
rw,0,9,310,83,299,12028,382.0
goni,0,9,197,196,63,12264,259.0
chan,0,9,121,272,86,12241,358.0
kenett,0,9,25,368,446,11881,814.0
fe,0,9,24,369,3,12324,372.0
rw,0,10,326,67,336,11991,403.0
goni,0,10,210,183,74,12253,257.0
chan,0,10,120,273,68,12259,341.0
kenett,0,10,152,241,322,12005,563.0
fe,0,10,27,366,3,12324,369.0
rw,0,11,336,57,369,11958,426.0
goni,0,11,229,164,81,12246,245.0
chan,0,11,119,274,62,12265,336.0
kenett,0,11,160,233,314,12013,547.0
fe,0,11,30,363,3,12324,366.0
rw,0,12,346,47,397,11930,444.0
goni,0,12,246,147,95,12232,242.0
chan,0,12,118,275,64,12263,339.0
kenett,0,12,173,220,301,12026,521.0
fe,0,12,33,360,3,12324,363.0
rw,0,13,352,41,437,11890,478.0
goni,0,13,256,137,109,12218,246.0
chan,0,13,123,270,57,12270,327.0
kenett,0,13,181,212,293,12034,505.0
fe,0,13,35,358,3,12324,361.0
rw,0,14,361,32,467,11860,499.0
goni,0,14,271,122,111,12216,233.0
chan,0,14,126,267,60,12267,327.0
kenett,0,14,192,201,282,12045,483.0
fe,0,14,38,355,3,12324,358.0
rw,0,15,365,28,496,11831,524.0
goni,0,15,279,114,109,12218,223.0
chan,0,15,130,263,60,12267,323.0
kenett,0,15,196,197,278,12049,475.0
fe,0,15,41,352,3,12324,355.0
rw,0,16,370,23,536,11791,559.0
goni,0,16,293,100,120,12207,220.0
chan,0,16,128,265,48,12279,313.0
kenett,0,16,207,186,267,12060,453.0
fe,0,16,44,349,3,12324,352.0
rw,0,17,374,19,566,11761,585.0
goni,0,17,300,93,127,12200,220.0
chan,0,17,128,265,47,12280,312.0
kenett,0,17,205,188,269,12058,457.0
fe,0,17,47,346,3,12324,349.0
